Basin Name,Polygon,Split Poly,Basin UBI,Longitude,Latitude,Basin Type,Salt,Volcanics,Region,Countries,Setting,Geo Period,Geo Age,Age Old,Age Young,Max Sed St,Mean Sed S,Med Sed St,Mean Sed L,Med Sed La,Max Sed La,Poly Area,Moho Mean,Moho Med k,Moho Max k,Moho Min k,Perm Salt,Tri Salt,Jur Salt,Cret Salt,Salt Fm(s),Salt Per.,Salt Ages,Evap Numb
Cagayan,116.00000,No,"115",121.526420000000002,19.520980000000002,Forearc,Unknown,Extrusive,Asia,"Philippines, Taiwan",On-Offshore,Oligocene,Chattian,28.10,0.00,5.639000000000000,0.900163504503302,0.357570000000000,0.183333338548740,0.150000002235174,0.300000011920929,"94934",-23.855000019073486,-25.500000000000000,-9.050000190734863,-30.559999465942383,Unknown,Unknown,Unknown,Unknown,,,,
Camamu-Almada,118.00000,No,"117",-38.693280000000001,-15.442720000000000,Passive Margin,Mobile,Extrusive,South America,Brazil,On-Offshore,Permian,Asselian,298.90,0.00,4.026000000000000,2.385796966587112,2.365000000000000,3.087499976158142,3.105000019073486,3.579999923706055,"44168",-24.000000000000000,-24.000000000000000,-22.000000000000000,-26.000000000000000,None,None,None,Mobile,Mariricu,Cretaceous,Aptian,"1"
Campos,121.00000,No,"120",-40.180199999999999,-22.002389999999998,Passive Margin,Mobile,Extrusive,South America,Brazil,On-Offshore,Cretaceous,Hauterivian,132.90,0.00,6.051000000000000,3.849245536057693,3.912000000000000,3.856666684150696,4.579999923706056,5.340000152587892,"114849",-21.323333528306748,-22.170000076293945,-15.000000000000000,-29.170000076293945,None,None,None,Mobile,Aptian,Cretaceous,Aptian,"1"
Colorado,155.00000,No,"154",-58.817459999999997,-40.890850000000000,Passive Margin,None,Extrusive,South America,Argentina,On-Offshore,Cambrian,Cambrian Upper,497.00,0.00,5.689000000000000,2.645177198453718,2.397000000000000,2.371749991178512,1.975000023841858,4.789999961853028,"481981",-28.676000022888186,-30.000000000000000,-13.600000381469727,-35.919998168945312,None,None,None,None,,,,"0"
Columbus,157.00000,No,"156",-60.118110000000001,10.351820000000000,Strike-Slip,None,None,Central America,"Trinidad and Tobago, Venezuela, Guyana, Barbados",On-Offshore,Triassic,Induan,252.17,0.00,17.495999999999999,11.384914274285713,11.734500000000001,8.214285714285714,8.000000000000000,15.500000000000000,"64812",-23.862857273646764,-23.500000000000000,-19.000000000000000,-28.229999542236328,None,None,None,None,,,,"0"
Congo,158.00000,No,"157",10.759029999999999,-4.598430000000000,Passive Margin,Mobile,Extrusive,Africa,"Gabon, Congo, Angola, Congo",On-Offshore,Jurassic,Oxfordian,163.50,0.00,5.999000000000000,5.385511177189410,5.771000000000000,4.921250015497208,5.700000047683716,6.070000171661378,"106653",-24.891250133514404,-24.500000000000000,-16.200000762939453,-35.930000305175781,None,None,None,Mobile,Aptian,Cretaceous,Aptian,"1"
Cyrenaica,169.00000,No,"168",22.376460000000002,31.806500000000000,Passive Margin,None,None,Africa,"Libya, Egypt",On-Offshore,Proterozoic,Neoproterozoic,1000.00,0.00,9.369260000000001,7.087276077358490,7.006137500000000,4.683333317438762,4.349999904632569,7.500000000000000,"154187",-29.907499790191650,-30.560000419616699,-22.799999237060547,-35.729999542236328,None,None,None,None,,,,"0"
Drummond,187.00000,No,"186",146.172879999999992,-22.848900000000000,Intracratonic,Unknown,Unknown,South Pacific,Australia,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,2.262499995529652,2.500000000000000,3.299999952316284,"109135",-39.023749828338623,-38.950000762939453,-38.479999542236328,-39.750000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Enderby,211.00000,No,"210",72.825000000000003,-67.363249999999994,Passive Margin,Unknown,Unknown,Antarctica,Antarctica,On-Offshore,Permian,Roadian,272.30,0.00,4.722000000000000,3.769090161687182,3.965375000000000,2.037096763600505,1.579999983310699,5.699999809265138,"1561715",-22.407016131185717,-22.000000000000000,-12.189999580383301,-34.540000915527344,Unknown,Unknown,Unknown,Unknown,,,,
Essaouria,215.00000,No,"214",-9.647990000000000,32.302210000000002,Passive Margin,Mobile,Extrusive,Africa,"Morocco, Spain",On-Offshore,Proterozoic,Neoproterozoic,1000.00,0.00,10.153000000000000,5.620141565546692,6.261000000000000,4.203333334128062,4.000000000000000,7.750000000000000,"187750",-26.680666605631512,-27.680000305175781,-16.430000305175781,-31.799999237060547,None,Mobile,Mobile,Bedded,"Carnian-Toarcian; Oxfordian-Berriasian","Tri., Jur., Cret.","Carnian-Toarcian; Oxfordian-Berriasian","2"
Falcon-Bonaire,220.00000,No,"219",-69.992459999999994,11.931410000000000,Strike-Slip,None,Extrusive,South America,"Venezuela, Colombia, Curacao, Aruba, Bonaire",On-Offshore,Triassic,Anisian,247.20,0.00,5.926322000000000,2.449368781370557,2.418000000000000,3.892105265667564,3.500000000000000,10.000000000000000,"225217",-25.736842004876387,-25.930000305175781,-16.510000228881836,-36.659999847412109,None,None,None,None,,,,"0"
Foz do Amazonas,231.00000,No,"230",-49.683160000000001,1.181930000000000,Passive Margin,None,Extrusive,South America,"Brazil, French Guiana",On-Offshore,Triassic,Carnian,237.00,0.00,10.234999999999999,4.927160609004494,4.954500000000000,4.236274527568443,4.500000000000000,9.750000000000000,"640142",-26.504705821766574,-29.000000000000000,-13.260000228881836,-44.150001525878906,None,None,None,None,,,,"0"
Gulf of Mexico,257.00000,No,"256",-92.085710000000006,27.492319999999999,Passive Margin,Mobile,None,North America,"USA, Mexico, Bahamas",On-Offshore,Triassic,Carnian,237.00,0.00,18.170999999999999,9.623588488886661,9.298500000000001,8.042125979746421,8.000000000000000,14.000000000000000,"1609749",-30.232992187259704,-31.000000000000000,-19.000000000000000,-41.340000152587891,None,None,Mobile,Bedded,"Louann; Ferry Lake","Jur., Cret.","Callovian-Oxfordian; Albian","2"
Gulf of Sirte,260.00000,No,"259",17.628969999999999,32.343660000000000,Passive Margin,Bedded,Unknown,Africa,"Libya, Malta, Italy",On-Offshore,Cambrian,Cambrian Lower,542.00,0.00,9.962789000000001,7.244257752467426,7.228417000000000,6.433333347241084,6.750000000000000,10.000000000000000,"273646",-27.596249977747600,-27.944999694824219,-18.399999618530273,-34.439998626708984,None,None,None,None,Messinian,Miocene,Messinian,"1"
Guyana,263.00000,No,"262",-56.572769999999998,7.416450000000000,Passive Margin,None,None,South America,"Guyana, Suriname, French Guiana, Venezuela",On-Offshore,Triassic,Induan,252.17,0.00,8.699000000000000,4.155976410121080,4.350000000000000,3.604838709437078,3.750000000000000,8.750000000000000,"373554",-26.809354966686620,-27.989999771118164,-14.079999923706055,-36.130001068115234,None,None,None,None,,,,"0"
Kwanza,337.00000,No,"334",12.437709999999999,-9.697360000000000,Passive Margin,Mobile,Extrusive,Africa,"Angola, Congo",On-Offshore,Jurassic,Oxfordian,163.50,0.00,5.980000000000000,3.549171328892521,3.780000000000000,3.510454559868032,3.580000042915344,5.980000019073486,"272256",-24.004999897696756,-24.000000000000000,-14.000000000000000,-35.669998168945312,None,None,None,Mobile,"Leome; Albian",Cretaceous,"Aptian; Albian","2"
Lamu,349.00000,No,"346",40.849290000000003,-2.971150000000000,Passive Margin,Mobile,Extrusive,Africa,"Kenya, Somalia, Tanzania",On-Offshore,Triassic,Rhaetian,208.50,0.00,8.584340000000003,3.746145390760346,4.342000000000000,4.980731698479958,5.000000000000000,9.199999809265137,"500077",-28.989512164418294,-31.159999847412109,-15.109999656677246,-40.970001220703125,None,None,Mobile,None,Toarcian,Jurassic,Toarcian,"1"
Liberia,357.00000,No,"354",-10.993399999999999,5.928810000000000,Passive Margin,None,Extrusive,Africa,"Liberia, Sierra Leone",On-Offshore,Devonian,Lochkovian,419.20,0.00,6.281000000000000,2.436626617665820,2.385000000000000,1.964285697255816,1.850000023841858,3.799999952316284,"71826",-23.285714285714285,-24.000000000000000,-16.000000000000000,-29.000000000000000,None,None,None,None,,,,"0"
Lower Magdalena,365.00000,No,"362",-75.298349999999999,9.330500000000001,Fold and Thrust Belt,None,None,South America,Colombia,On-Offshore,Triassic,Rhaetian,208.50,0.00,4.864000000000000,3.448586996563574,3.385000000000000,3.662500001490116,3.250000000000000,7.000000000000000,"107245",-24.242500305175781,-24.530000686645508,-18.370000839233398,-29.809999465942383,None,None,None,None,,,,"0"
Niger Delta,449.00000,No,"446",6.177150000000000,4.462550000000000,Passive Margin,None,Extrusive,Africa,"Nigeria, Equatorial Guinea, Sao Tome and Principe, Cameroon",On-Offshore,Cretaceous,Barremian,129.40,0.00,11.949999999999999,5.265874752479712,4.929000000000000,5.208333333333334,4.600000143051148,10.250000000000000,"276834",-25.870833317438763,-26.000000000000000,-12.609999656677246,-39.970001220703125,None,None,None,None,,,,"0"
Orange,488.00000,No,"485",15.583280000000000,-29.457419999999999,Passive Margin,None,Extrusive,Africa,"South Africa, Namibia",On-Offshore,Jurassic,Oxfordian,163.50,0.00,8.116000000000000,3.268543309793230,2.871000000000000,2.801052657397170,2.759999990463257,6.949999809265138,"487084",-26.032368333716143,-27.500000000000000,-14.369999885559082,-36.549999237060547,None,None,None,None,,,,"0"
Otway,494.00000,No,"491",141.884940000000000,-38.334499999999998,Passive Margin,None,Extrusive,South Pacific,Australia,On-Offshore,Jurassic,Oxfordian,163.50,0.00,8.643000000000002,5.121830010084038,5.465000000000000,3.313076948317198,2.500000000000000,7.000000000000000,"161905",-30.725384492140549,-30.200000762939453,-21.659999847412109,-38.369998931884766,None,None,None,None,,,,"0"
Parnaiba,511.00000,No,"508",-45.203600000000002,-6.579820000000000,Intracratonic,Bedded,Extrusive,South America,Brazil,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,1.347169811011485,1.200000047683716,2.900000095367432,"620737",-38.677358591331625,-38.729999542236328,-31.819999694824219,-40.970001220703125,Bedded,None,None,None,Asselian-Capitanian,Permian,Asselian-Capitanian,"1"
Pelagian,517.00000,No,"514",12.431110000000000,35.365459999999999,Passive Margin,Mobile,Extrusive,Africa,"Tunisia, Libya, Italy, Malta, Algeria",On-Offshore,Cambrian,Cambrian Lower,542.00,0.00,10.228750000000000,7.856851101783532,7.880066000000000,6.591212131365230,8.000000000000000,10.000000000000000,"415259",-28.038484862356476,-28.250000000000000,-22.020000457763672,-32.790000915527344,None,Mobile,Bedded,Bedded,"Carnian-Callovian; Berriasian-Cenomanian; Selja; Lutetian-Priabonian; Messinian","Tri., Jur., Cret., Paleo., Eo., Mio.","Carnian-Callovian; Berriasian-Cenomanian; Danian-Thanetian; Lutetian-Priabonian; Messinian","5"
Pelotas,518.00000,No,"515",-50.316180000000003,-32.032280000000000,Passive Margin,Unknown,Unknown,South America,"Brazil, Uruguay",On-Offshore,Permian,Asselian,298.90,0.00,8.061999999999999,4.509595789661426,4.512000000000000,4.216799992322922,4.079999923706055,7.619999885559082,"333058",-27.358000030517577,-32.000000000000000,-16.520000457763672,-33.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Reconcavo,550.00000,No,"547",-38.147700000000000,-12.476739999999999,Passive Margin,None,None,South America,Brazil,On-Offshore,Jurassic,Oxfordian,163.50,0.00,3.969000000000000,3.539907846666666,3.515500000000000,3.014999985694885,3.014999985694885,3.230000019073486,"26973",-29.799999237060547,-29.799999237060547,-20.000000000000000,-39.599998474121094,None,None,None,None,,,,"0"
Ross,563.00000,Yes,"559",171.182670000000002,-75.871369999999999,Passive Margin,Unknown,Extrusive,Antarctica,Antarctica,On-Offshore,Jurassic,Oxfordian,163.50,0.00,8.042000000000000,2.412783836521126,1.930931000000000,0.842758622626072,0.699999988079071,2.500000000000000,"2467184",-28.044088645521644,-27.979999542236328,-18.000000000000000,-35.869998931884766,Unknown,Unknown,Unknown,Unknown,,,,
Rovuma-Mandawa,564.00000,No,"560",39.000000000000000,-7.500000000000000,Passive Margin,Bedded,Extrusive,Africa,"Tanzania, Mozambique",On-Offshore,Pennsylvanian,Gzhelian,303.70,0.00,8.652404000000002,3.343882220308788,4.190500000000000,5.725000023841858,5.099999904632568,9.300000190734863,"215336",-28.711250066757206,-30.000000000000000,-18.000000000000000,-36.880001068115234,None,Bedded,Bedded,None,"Pindiro (Mbuo); Mandawa; Nondwa","Tri., Jur.","Carnian-Pliensbachian; Bajocian-Bathonian; Pliensbachian-Toarcian","3"
Salado,575.00000,No,"571",-56.278579999999998,-35.888700000000000,Passive Margin,None,Extrusive,South America,"Argentina, Uruguay",On-Offshore,Proterozoic,Neoproterozoic,1000.00,0.00,6.431000000000000,2.943285470161292,2.162000000000000,2.640689678747079,2.500000000000000,5.500000000000000,"358686",-31.019310490838414,-32.000000000000000,-15.810000419616699,-35.990001678466797,None,None,None,None,,,,"0"
San Jorge,580.00000,No,"576",-63.357930000000003,-46.601970000000001,Passive Margin,None,Extrusive,South America,"Argentina, Falkland Islands",On-Offshore,Triassic,Carnian,237.00,0.00,4.106000000000000,1.563191589315929,1.345000000000000,1.727222215798166,1.235000014305115,5.000000000000000,"435421",-28.061388810475670,-29.000000000000000,-15.210000038146973,-33.459999084472656,None,None,None,None,,,,"0"
Santos,590.00000,No,"586",-45.196559999999998,-25.685749999999999,Passive Margin,Mobile,Extrusive,South America,Brazil,On-Offshore,Cretaceous,Hauterivian,132.90,0.00,7.888000000000000,4.315163943320278,4.161000000000000,3.551081117947359,4.039999961853028,6.510000228881836,"424151",-26.001081208924990,-24.670000076293945,-14.239999771118164,-35.950000762939453,None,None,None,Mobile,Aptian,Cretaceous,Aptian,"1"
Scott,600.00000,No,"596",124.970230000000001,-64.542109999999994,Passive Margin,Unknown,Unknown,Antarctica,Antarctica,On-Offshore,Jurassic,Oxfordian,163.50,0.00,8.335692000000000,2.966790198398165,2.829000000000000,1.034347827764957,0.400000005960464,5.099999904632568,"2776872",-22.403521749247677,-23.000000000000000,-10.920000076293945,-33.990001678466797,Unknown,Unknown,Unknown,Unknown,,,,
Senegal-Mauritania,602.00000,No,"598",-16.092020000000002,16.085870000000000,Passive Margin,Mobile,Extrusive,Africa,"Senegal, Mauritania, Guinea-Bissau, Western Sahara, Gambia",On-Offshore,Proterozoic,Neoproterozoic,1000.00,0.00,10.186000000000000,7.259252636461706,7.199000000000000,4.068510641839276,3.500000000000000,9.500000000000000,"573205",-31.468297755464594,-35.970001220703125,-14.149999618530273,-41.979999542236328,None,Mobile,Mobile,None,Carnian-Toarcian,"Tri., Jur.",Carnian-Toarcian,"1"
Sergipe-Alagoas,605.00000,No,"601",-36.167450000000002,-10.335350000000000,Passive Margin,Bedded,Extrusive,South America,Brazil,On-Offshore,Cambrian,Cambrian Lower,542.00,0.00,4.000000000000000,2.549366764057971,2.317000000000000,4.936666647593182,5.000000000000000,5.309999942779542,"43662",-23.569999694824219,-26.209999084472656,-17.500000000000000,-27.000000000000000,None,None,None,Bedded,Paripueira,Cretaceous,Aptian,"1"
Abu Gharadig,2.00000,No,"2",27.345500000000001,29.646850000000001,Strike-Slip,None,None,Africa,"Egypt, Libya",Onshore,Cambrian,Cambrian Lower,542.00,0.00,,,,4.057142836706979,4.000000000000000,5.000000000000000,"77768",-31.257142748151505,-30.700000762939453,-29.389999389648438,-33.590000152587891,None,None,None,None,,,,"0"
Acapulco,3.00000,No,"3",-101.417270000000002,17.555280000000000,Forearc,None,Extrusive,Central America,Mexico,On-Offshore,Cretaceous,Cenomanian,100.50,0.00,1.432503000000000,0.344272865108514,0.330000000000000,1.441428552780833,1.529999971389771,2.299999952316284,"99151",-20.459999901907786,-22.000000000000000,-10.399999618530273,-28.000000000000000,None,None,None,None,,,,"0"
Acoma,4.00000,No,"4",-107.356359999999995,34.571689999999997,Rift,None,Extrusive,North America,USA,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,1.292430218489906,0.699999988079071,2.000000000000000,"13418",-37.595450182978638,-36.950000762939453,-32.689998626708984,-38.860000610351562,None,None,None,None,,,,"0"
Adana,5.00000,No,"5",34.768490000000000,36.311439999999997,Foreland,Bedded,Extrusive,Middle East,"Turkey, Cyprus, Syria",On-Offshore,Cambrian,Cambrian Upper,497.00,0.00,3.076690000000000,2.194763478036175,2.220974000000000,1.883333331594865,2.500000000000000,3.000000000000000,"63293",-32.811665534973145,-32.634998321533203,-29.809999465942383,-35.759998321533203,None,None,None,None,Messinian,Miocene,Messinian,"1"
Adavale,6.00000,No,"6",144.804210000000012,-26.186319999999998,Intracratonic,Bedded,Unknown,South Pacific,Australia,Onshore,Cambrian,Cambrian Lower,542.00,0.00,,,,1.919999998807907,1.600000023841858,4.500000000000000,"250685",-38.750999832153319,-38.389999389648438,-34.799999237060547,-43.150001525878906,Unknown,Unknown,Unknown,Unknown,Boree,Devonian,Givetian,"1"
Afar,7.00000,No,"7",42.774459999999998,11.315670000000001,Rift,Bedded,Extrusive,Africa,"Ethiopia, Somalia, Djibouti, Eritrea",On-Offshore,Triassic,Rhaetian,208.50,0.00,1.477000000000000,1.084648797732998,1.079000000000000,0.877777779267894,0.599999994039536,3.000000000000000,"203036",-20.927221934000652,-21.654999732971191,-9.779999732971191,-28.969999313354492,None,None,Bedded,None,"Hamanlei (Middle); Taleh; Rupelian","Jur., Eo., Oligo.","Aalenian-Callovian; Lutetian-Bartonian; Rupelian","3"
Afghan-Tajik,8.00000,No,"8",68.593019999999996,37.490369999999999,Fold and Thrust Belt,Bedded,Extrusive,Asia,"Tajikistan, Afghanistan, Uzbekistan",Onshore,Permian,Wuchiapingian,259.80,0.00,,,,5.224999994039536,3.500000000000000,9.000000000000000,"91952",-41.366250038146973,-40.885000228881829,-38.409999847412109,-43.799999237060547,Bedded,None,Bedded,None,"Wuchiapingian-Changhsingian; Gaurdak; Akjar","Perm., Jur., Paleo.","Wuchiapingian-Changhsingian; Kimmeridgian-Tithonian; Danian-Thanetian","3"
Agusan-Davao,9.00000,No,"9",126.021540000000002,5.966020000000000,Forearc,Unknown,Unknown,Asia,"Philippines, Indonesia",On-Offshore,Eocene,Ypresian,56.00,0.00,4.274000000000000,1.695065505250000,1.380500000000000,0.599999989072482,0.300000011920929,1.299999952316284,"46166",-21.870000203450520,-19.000000000000000,-16.000000000000000,-30.610000610351562,Unknown,Unknown,Unknown,Unknown,,,,
Al Daww,11.00000,No,"11",38.213819999999998,34.935470000000002,Strike-Slip,Bedded,Unknown,Middle East,Syria,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,2.500000000000000,2.000000000000000,3.500000000000000,"60722",-34.201999664306641,-34.779998779296875,-32.340000152587891,-34.939998626708984,None,Bedded,None,None,Mulussa C2,Triassic,Ladinian,"1"
Alamein,12.00000,No,"12",29.239820000000002,30.541589999999999,Strike-Slip,Unknown,Unknown,Africa,Egypt,Onshore,Cambrian,Cambrian Middle,509.00,0.00,5.486389000000000,5.451915500000000,5.451915500000000,5.500000000000000,5.500000000000000,6.000000000000000,"28590",-29.789999961853027,-29.789999961853027,-28.760000228881836,-30.819999694824219,Unknown,Unknown,Unknown,Unknown,,,,
Alboran,14.00000,No,"14",-1.952840000000000,36.135030000000000,Passive Margin,Unknown,Unknown,Europe,"Spain, Algeria, Morocco, Gibraltar",On-Offshore,Cretaceous,Cenomanian,100.50,0.00,5.594051000000000,3.334399140573155,3.560101500000000,3.046153857157781,3.000000000000000,5.800000190734864,"144197",-22.328461720393253,-22.250000000000000,-18.250000000000000,-25.680000305175781,Unknown,Unknown,Unknown,Unknown,,,,
Albuquerque,15.00000,No,"15",-106.718680000000006,34.566800000000001,Rift,None,Extrusive,North America,USA,Onshore,Mississippian,Tournaisian,358.90,0.00,,,,0.656120458822379,0.849999994039536,1.399999976158142,"5214",-36.816222290475494,-36.625000000000000,-33.169998168945312,-37.790000915527344,None,None,None,None,,,,"0"
Altiplano,19.00000,No,"19",-67.935100000000006,-18.700070000000000,Fold and Thrust Belt,Bedded,Extrusive,South America,"Bolivia, Peru",Onshore,Ordovician,Tremadocian,485.40,0.00,,,,3.936363669958982,3.500000000000000,8.000000000000000,"125655",-60.699091477827594,-58.919998168945312,-56.400001525878906,-69.510002136230469,Bedded,None,None,None,Wuchiapingian-Changhsingian,Permian,Wuchiapingian-Changhsingian,"1"
Alto Tapajos,20.00000,No,"20",-57.827849999999998,-7.915740000000000,Rift,Unknown,Unknown,South America,Brazil,Onshore,Proterozoic,Mesoproterozoic,1600.00,0.00,,,,0.377777783407105,0.400000005960464,0.500000000000000,"116861",-39.228889041476776,-38.799999237060547,-38.630001068115234,-40.880001068115234,Unknown,Unknown,Unknown,Unknown,,,,
Amadeus,21.00000,No,"21",131.841080000000005,-23.844729999999998,Foreland,Bedded,None,South Pacific,Australia,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,2.404347826281319,1.799999952316284,7.000000000000000,"260228",-44.056956415591031,-43.580001831054688,-38.630001068115234,-48.169998168945312,None,None,None,None,"Neoproterozoic; Waucoban-Furongian","Protero., Cam.","Neoproterozoic; Waucoban-Furongian","2"
Amazonas,23.00000,No,"23",-52.348329999999997,-1.818490000000000,Rift,Bedded,Intrusive,South America,Brazil,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,2.187000000000000,1.829966725000000,1.857971500000000,1.784848489544608,1.500000000000000,4.500000000000000,"401419",-38.857575676657937,-38.939998626708984,-31.969999313354492,-42.770000457763672,None,None,None,None,Nova Olinda,Pennsylvanian,Kasimovian-Gzhelian,"1"
Amundsen,26.00000,No,"26",-114.778809999999993,-73.114159999999998,Passive Margin,Unknown,Extrusive,Antarctica,Antarctica,On-Offshore,Cretaceous,Cenomanian,100.50,0.00,4.824000000000000,2.183749854656378,2.646000000000000,0.816129038951570,0.600000023841858,3.400000095367432,"1530963",-25.713064509053385,-27.000000000000000,-12.409999847412109,-32.840000152587891,Unknown,Unknown,Unknown,Unknown,,,,
Anadarko,28.00000,No,"28",-98.974879999999999,37.120840000000001,Foreland,Bedded,Extrusive,North America,USA,Onshore,Cambrian,Cambrian Lower,542.00,0.00,,,,2.558064522281770,2.099999904632568,8.500000000000000,"382243",-43.051612977058667,-43.419998168945312,-38.729999542236328,-46.979999542236328,Bedded,None,None,None,Kungurian-Capitanian,Permian,Kungurian-Capitanian,"1"
Ancud,31.00000,No,"30",-73.059449999999998,-42.125399999999999,Forearc,Unknown,Extrusive,South America,Chile,On-Offshore,Oligocene,Chattian,28.10,0.00,0.877173900000000,0.798753888554218,0.799000000000000,1.100000002554485,1.000000000000000,2.000000000000000,"70952",-32.332856859479634,-30.000000000000000,-29.889999389648438,-36.459999084472656,Unknown,Unknown,Unknown,Unknown,,,,
Andaman-Nicobar,32.00000,No,"31",92.808369999999996,10.114409999999999,Forearc,None,Extrusive,Asia,"India, Myanmar",On-Offshore,Cretaceous,Cenomanian,100.50,0.00,7.225000000000000,2.796091699065744,2.435000000000000,0.375000005587935,0.300000011920929,0.800000011920929,"130755",-23.250000000000000,-24.000000000000000,-21.000000000000000,-24.000000000000000,None,None,None,None,,,,"0"
